,post,likes,sponsored,nPost,followers,followees,nIgtv,business,verified,day,month,hour_of_day,category
12661,2021-03-05_00-20-59_UTC,861,0,1239,15169,665,4,0,0,Wednesday,9,18.0,Other
12662,2021-03-01_19-48-57_UTC,450,0,1239,15169,665,4,0,0,Tuesday,9,16.0,Other
12663,2021-02-24_03-42-36_UTC,399,0,1239,15169,665,4,0,0,Monday,9,19.0,Other
12664,2021-02-21_03-52-46_UTC,514,0,1239,15169,665,4,0,0,Sunday,9,23.0,Other
12665,2021-02-19_02-32-44_UTC,386,0,1239,15169,665,4,0,0,Saturday,9,22.0,Other
12666,2021-02-17_03-03-01_UTC,731,0,1239,15169,665,4,0,0,Friday,9,17.0,Other
12668,2021-02-13_16-37-25_UTC,359,0,1239,15169,665,4,0,0,Thursday,9,16.0,Other
12669,2021-02-11_02-43-47_UTC,480,0,1239,15169,665,4,0,0,Wednesday,9,17.0,Other
12670,2021-02-10_01-06-12_UTC,625,0,1239,15169,665,4,0,0,Tuesday,9,19.0,Other
12671,2021-02-06_03-26-14_UTC,918,0,1239,15169,665,4,0,0,Monday,9,15.0,Other
12672,2021-02-04_03-17-49_UTC,422,0,1239,15169,665,4,0,0,Sunday,9,23.0,Other
12673,2021-02-02_02-32-32_UTC,588,0,1239,15169,665,4,0,0,Friday,9,17.0,Other
12674,2021-01-29_19-52-51_UTC,472,0,1239,15169,665,4,0,0,Thursday,9,17.0,Other
12675,2021-01-28_03-46-12_UTC,505,0,1239,15169,665,4,0,0,Wednesday,9,17.0,Other
12676,2021-01-25_15-43-35_UTC,786,0,1239,15169,665,4,0,0,Tuesday,9,17.0,Other
12677,2021-01-21_02-25-40_UTC,389,0,1239,15169,665,4,0,0,Monday,9,16.0,Other
12678,2021-01-19_01-50-34_UTC,1216,0,1239,15169,665,4,0,0,Sunday,9,23.0,Other
12679,2021-01-14_04-30-27_UTC,522,0,1239,15169,665,4,0,0,Saturday,9,16.0,Other
12680,2021-01-12_02-26-16_UTC,764,0,1239,15169,665,4,0,0,Friday,9,16.0,Other
12681,2021-01-10_02-04-32_UTC,707,0,1239,15169,665,4,0,0,Thursday,9,22.0,Other
12682,2021-01-05_04-37-01_UTC,758,0,1239,15169,665,4,0,0,Thursday,9,16.0,Other
12683,2021-01-03_03-34-35_UTC,805,0,1239,15169,665,4,0,0,Wednesday,9,16.0,Other
12684,2021-01-01_01-50-06_UTC,975,0,1239,15169,665,4,0,0,Tuesday,8,16.0,Other
12685,2021-12-31_17-03-33_UTC,148,0,3806,18454,1947,4,1,0,Monday,8,17.0,Creators & Celebrities
12687,2021-12-29_22-34-51_UTC,115,0,3806,18454,1947,4,1,0,Saturday,8,17.0,Creators & Celebrities
12688,2021-12-29_15-22-45_UTC,244,0,3806,18454,1947,4,1,0,Friday,8,22.0,Creators & Celebrities
12690,2021-12-27_16-52-45_UTC,184,0,3806,18454,1947,4,1,0,Thursday,8,21.0,Creators & Celebrities
12691,2021-12-26_18-35-09_UTC,541,0,3806,18454,1947,4,1,0,Thursday,8,16.0,Creators & Celebrities
12693,2021-12-23_16-49-12_UTC,107,0,3806,18454,1947,4,1,0,Wednesday,8,17.0,Creators & Celebrities
12694,2021-12-22_15-10-40_UTC,154,0,3806,18454,1947,4,1,0,Tuesday,8,16.0,Creators & Celebrities
12695,2021-12-21_22-29-47_UTC,56,1,3806,18454,1947,4,1,0,Monday,8,23.0,Creators & Celebrities
12696,2021-12-20_19-51-51_UTC,105,1,3806,18454,1947,4,1,0,Monday,8,15.0,Creators & Celebrities
12697,2021-12-19_21-44-17_UTC,255,0,3806,18454,1947,4,1,0,Monday,8,0.0,Creators & Celebrities
12698,2021-12-17_21-23-39_UTC,45,0,3806,18454,1947,4,1,0,Saturday,8,16.0,Creators & Celebrities
12700,2021-12-16_15-56-29_UTC,144,0,3806,18454,1947,4,1,0,Friday,8,0.0,Creators & Celebrities
12702,2021-12-14_22-58-17_UTC,58,1,3806,18454,1947,4,1,0,Wednesday,8,21.0,Creators & Celebrities
12703,2021-12-14_15-31-22_UTC,225,0,3806,18454,1947,4,1,0,Wednesday,8,15.0,Creators & Celebrities
12704,2021-12-13_21-04-36_UTC,304,1,3806,18454,1947,4,1,0,Monday,8,21.0,Creators & Celebrities
12705,2021-12-13_16-38-59_UTC,144,0,3806,18454,1947,4,1,0,Monday,8,17.0,Creators & Celebrities
12706,2021-12-12_19-04-15_UTC,258,0,3806,18454,1947,4,1,0,Monday,8,0.0,Creators & Celebrities
12707,2021-12-11_14-46-57_UTC,187,0,3806,18454,1947,4,1,0,Friday,8,17.0,Creators & Celebrities
12708,2021-12-10_19-49-48_UTC,59,0,3806,18454,1947,4,1,0,Thursday,8,17.0,Creators & Celebrities
12709,2021-12-09_15-59-14_UTC,272,0,3806,18454,1947,4,1,0,Wednesday,8,18.0,Creators & Celebrities
12710,2021-12-08_16-36-52_UTC,53,1,3806,18454,1947,4,1,0,Tuesday,8,21.0,Creators & Celebrities
12711,2021-12-07_15-18-45_UTC,353,0,3806,18454,1947,4,1,0,Tuesday,8,17.0,Creators & Celebrities
12712,2021-12-06_16-19-12_UTC,162,0,3806,18454,1947,4,1,0,Monday,8,17.0,Creators & Celebrities
12714,2021-12-03_16-19-00_UTC,238,0,3806,18454,1947,4,1,0,Saturday,8,16.0,Creators & Celebrities
12716,2021-12-02_16-11-08_UTC,276,0,3806,18454,1947,4,1,0,Thursday,8,18.0,Creators & Celebrities
12717,2021-12-01_16-22-59_UTC,783,0,3806,18454,1947,4,1,0,Wednesday,8,16.0,Creators & Celebrities
