,post,faces,is_people,label,acc
53,2021-10-23_15-37-27_UTC.jpg,0,Indeterminate,outdoor,0.6955829
54,2021-10-24_14-34-52_UTC.jpg,1,true,outdoor,0.6780442
55,2021-10-25_13-51-17_UTC.jpg,1,true,indoor,0.59647655
56,2021-10-26_13-26-06_UTC.jpg,0,Indeterminate,outdoor,0.9978981
57,2021-10-31_13-42-45_UTC.jpg,0,Indeterminate,indoor,0.8183057
58,2021-11-04_17-33-08_UTC.jpg,2,true,outdoor,0.9765454
59,2021-11-06_11-29-45_UTC.jpg,0,Indeterminate,indoor,0.98652136
60,2021-11-12_22-40-31_UTC.jpg,0,Indeterminate,indoor,0.8530922
61,2021-11-16_15-12-37_UTC.jpg,2,true,indoor,0.98868793
62,2021-11-24_14-37-39_UTC.jpg,2,true,indoor,0.7612273
63,2021-12-04_03-11-52_UTC.jpg,0,Indeterminate,indoor,0.9939004
64,2021-12-16_14-53-47_UTC.jpg,1,true,outdoor,0.8543369
65,2021-12-21_03-43-27_UTC.jpg,2,true,indoor,0.9867007
66,2021-12-22_22-58-32_UTC.jpg,0,Indeterminate,indoor,0.72305536
67,2021-12-24_21-28-25_UTC.jpg,1,true,outdoor,0.9883564
68,2021-01-03_00-03-54_UTC.jpg,0,Indeterminate,outdoor,0.81023645
69,2021-01-17_01-20-35_UTC.jpg,0,Indeterminate,outdoor,0.97537816
70,2021-01-22_00-30-59_UTC.jpg,1,true,outdoor,0.75667983
71,2021-01-31_01-17-15_UTC.jpg,0,Indeterminate,outdoor,0.99709594
72,2021-02-01_01-00-02_UTC.jpg,0,Indeterminate,outdoor,0.69028354
73,2021-02-06_14-46-33_UTC.jpg,0,Indeterminate,outdoor,0.96412426
74,2021-02-07_20-09-04_UTC.jpg,0,Indeterminate,indoor,0.887217
75,2021-02-11_13-19-37_UTC.jpg,1,true,outdoor,0.9803668
76,2021-02-14_19-15-46_UTC.jpg,0,Indeterminate,outdoor,0.9910678
77,2021-02-20_22-41-11_UTC.jpg,0,Indeterminate,outdoor,0.9965054
78,2021-02-22_02-18-21_UTC.jpg,0,Indeterminate,indoor,0.97723824
79,2021-02-24_01-37-36_UTC.jpg,0,Indeterminate,outdoor,0.9964134
80,2021-02-27_01-39-04_UTC.jpg,0,Indeterminate,outdoor,0.98622245
81,2021-02-28_18-14-03_UTC.jpg,1,true,outdoor,0.957056
82,2021-03-01_18-57-00_UTC.jpg,0,Indeterminate,outdoor,0.99756217
83,2021-03-06_18-48-40_UTC.jpg,0,Indeterminate,outdoor,0.98970735
84,2021-03-07_21-11-32_UTC.jpg,0,Indeterminate,outdoor,0.9974954
85,2021-03-17_00-18-29_UTC.jpg,1,true,outdoor,0.93925387
86,2021-03-27_20-11-56_UTC.jpg,1,true,outdoor,0.98383427
87,2021-03-29_01-14-34_UTC.jpg,0,Indeterminate,indoor,0.9938496
88,2021-03-31_22-57-59_UTC.jpg,1,true,indoor,0.95249087
89,2021-04-04_14-46-26_UTC.jpg,0,Indeterminate,outdoor,0.98739815
90,2021-04-10_18-09-48_UTC.jpg,0,Indeterminate,outdoor,0.9262102
91,2021-04-12_01-27-03_UTC.jpg,0,Indeterminate,outdoor,0.7438517
92,2021-04-14_19-09-57_UTC.jpg,0,Indeterminate,outdoor,0.9338799
93,2021-04-30_16-00-27_UTC.jpg,0,Indeterminate,outdoor,0.98580164
94,2021-06-06_18-36-56_UTC.jpg,0,Indeterminate,outdoor,0.9915692
95,2021-06-11_17-55-37_UTC.jpg,2,true,indoor,0.9849044
96,2021-06-20_18-11-45_UTC.jpg,0,Indeterminate,indoor,0.9704686
